STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,140,406100,4074,+41.674245,-072.941325
09,140,425300,3986,+41.687970,-073.026744
09,140,425400,4429,+41.656711,-073.022337
09,140,425500,3256,+41.677567,-073.000243
09,150,708100,2570,+41.583190,-071.833623
09,150,815000,2151,+41.784442,-072.129257
09,150,820000,1728,+41.775616,-072.057710
09,150,825000,1576,+41.704451,-072.091296
09,150,830100,4191,+41.886898,-072.172038
09,150,890203,785,+41.993121,-072.162921
09,150,900100,4422,+41.985070,-071.844764
09,150,900200,4767,+41.983843,-071.910753
09,150,901101,2640,+41.939222,-072.042674
09,150,901102,5581,+41.971506,-071.994470
09,150,902200,1649,+41.893439,-072.090332
09,150,902500,4266,+41.870386,-071.973468
09,150,903101,3302,+41.924515,-071.914279
09,150,903102,3527,+41.916447,-071.899822
09,150,903200,2395,+41.909536,-071.868006
09,150,904101,4761,+41.855572,-071.853342
09,150,904102,2797,+41.805253,-071.827762
09,150,904400,4112,+41.834654,-071.892175
09,150,904500,6082,+41.798427,-071.885119
09,150,905101,4751,+41.785690,-071.914971
09,150,905102,3699,+41.787455,-071.965219
09,150,906100,5045,+41.690001,-072.004778
09,150,907100,4217,+41.725557,-071.913542
09,150,907200,5302,+41.718187,-071.875493
09,150,907300,5454,+41.670601,-071.915786
09,150,908100,3578,+41.710609,-071.819508
09,160,260200,3211,+42.024832,-073.314046
09,160,261100,4194,+41.972720,-073.429454
09,160,262100,2680,+41.868154,-073.452110
09,160,263200,1567,+41.844478,-073.340759
09,160,265100,1351,+41.739074,-073.353396
09,160,266100,3019,+41.720975,-073.459296
09,160,267100,3646,+41.656270,-073.321377
09,160,268100,2260,+41.550137,-073.297090
09,160,290100,3647,+41.925033,-072.977736
09,160,293100,1361,+41.992895,-073.092910
09,160,296100,3150,+41.828373,-073.244087
09,160,298300,2729,+41.783712,-073.083526
09,160,298400,2755,+41.753873,-073.053318
09,160,300100,2610,+41.738411,-073.245490
09,160,300400,2151,+41.764613,-073.181495
09,160,300500,3431,+41.725230,-073.145358
09,160,303100,2256,+41.687416,-073.211649
09,160,306100,6658,+41.849940,-073.009179
09,160,310100,4253,+41.815737,-073.113670
09,160,310200,2844,+41.808482,-073.128340
09,160,310300,1801,+41.800819,-073.118274
09,160,310400,2578,+41.801069,-073.103187
09,160,310500,1806,+41.812483,-073.100117
09,160,310601,3454,+41.852267,-073.076196
09,160,310602,4427,+41.813362,-073.083562
09,160,310700,4379,+41.843432,-073.125928
09,160,310801,2385,+41.790406,-073.119857
09,160,310803,4802,+41.797623,-073.136795
09,160,310804,2786,+41.807638,-073.151533
09,160,320101,1388,+41.923536,-073.069612
09,160,320102,4551,+41.932719,-073.060574
09,160,320200,4285,+41.912516,-073.091466
09,160,330100,1901,+41.999289,-072.927183
09,160,410101,5285,+41.741228,-072.951155
09,160,410102,4234,+41.777179,-072.946871
09,160,425601,1588,+41.981621,-073.195856
09,160,425602,1080,+41.956774,-073.340866
09,170,140101,1306,+41.306044,-072.929116
09,170,140102,2526,+41.305894,-072.923282
09,170,140200,543,+41.298374,-072.926980
09,170,140300,2750,+41.296831,-072.932642
09,170,140400,3554,+41.287600,-072.932630
09,170,140500,3775,+41.293616,-072.938741
09,170,140600,4747,+41.301605,-072.940924
09,170,140700,4275,+41.311545,-072.938411
09,170,140800,3892,+41.308752,-072.947347
09,170,140900,4478,+41.316256,-072.949227
09,170,141000,3873,+41.321278,-072.964304
09,170,141100,2805,+41.324159,-072.978601
09,170,141200,4678,+41.332569,-072.973449
09,170,141301,6316,+41.334656,-072.956272
09,170,141400,4989,+41.322848,-072.946231
09,170,141500,7614,+41.330243,-072.932296
09,170,141600,5139,+41.318314,-072.934388
09,170,141800,4523,+41.327081,-072.922118
09,170,141900,5569,+41.321547,-072.912019
09,170,142000,3451,+41.314641,-072.916433
09,170,142100,1189,+41.311031,-072.912858
09,170,142200,1671,+41.304345,-072.917392
09,170,142300,5392,+41.306391,-072.897101
09,170,142400,5916,+41.313107,-072.900157
09,170,142500,5938,+41.315388,-072.892949
09,170,142601,5890,+41.326785,-072.872034
09,170,142604,2948,+41.304221,-072.883253
09,170,142605,4149,+41.314416,-072.873335
09,170,142700,6743,+41.290840,-072.892441
09,170,142800,4751,+41.267249,-072.894136
09,170,150100,4332,+41.221914,-073.061117
09,170,150200,3385,+41.211153,-073.066398
09,170,150300,3894,+41.203761,-073.089408
09,170,150400,4118,+41.194417,-073.086223
09,170,150500,4165,+41.193298,-073.102288
09,170,150600,6513,+41.225534,-073.089363
09,170,150700,4331,+41.249653,-073.063882
09,170,150800,3847,+41.245095,-073.033528
09,170,150900,3965,+41.217954,-073.040293
09,170,151000,4090,+41.210329,-073.020878
09,170,151100,6341,+41.224630,-073.009629
09,170,151200,3063,+41.236523,-072.999714
09,170,154101,3089,+41.297998,-072.962096
09,170,154102,4918,+41.294739,-072.977047
09,170,154200,6767,+41.275456,-072.976832
09,170,154500,4738,+41.277904,-072.947041
09,170,154600,4226,+41.272459,-072.959770
09,170,154700,6187,+41.245419,-072.982326
09,170,154800,4954,+41.249671,-072.970190
09,170,154900,3805,+41.264212,-072.953332
09,170,155000,5487,+41.269462,-072.942073
09,170,155100,3421,+41.260694,-072.943953
09,170,157100,2604,+41.268388,-073.006843
09,170,157200,3865,+41.266425,-073.036090
09,170,157300,3524,+41.294902,-073.053526
09,170,157400,4287,+41.293782,-073.009068
09,170,160100,3576,+41.333922,-073.020513
09,170,160200,5511,+41.364597,-073.008912
09,170,161100,5297,+41.424560,-073.001632
09,170,165100,4067,+41.344675,-072.897466
09,170,165200,2577,+41.354150,-072.905024
09,170,165300,2257,+41.362705,-072.913310
09,170,165400,5504,+41.345584,-072.919416
09,170,165500,4904,+41.340348,-072.935512
09,170,165600,5935,+41.354860,-072.933285
09,170,165700,4557,+41.346613,-072.948303
